id,created_at,payload
3062225,2021-06-23 20:04:48.370,"{'DeviceID': 'MAMA0001', 'MessageID': '6D1H', 'Payload': 'Counter:1', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062238,2021-06-23 20:05:48.370,"{'DeviceID': 'MAMA0001', 'MessageID': '478U', 'Payload': 'Counter:2', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062251,2021-06-23 20:06:48.426,"{'DeviceID': 'MAMA0001', 'MessageID': 'G83O', 'Payload': 'Counter:3', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062264,2021-06-23 20:07:48.378,"{'DeviceID': 'MAMA0001', 'MessageID': '57G4', 'Payload': 'Counter:4', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062277,2021-06-23 20:08:48.383,"{'DeviceID': 'MAMA0001', 'MessageID': 'Q34Y', 'Payload': 'Counter:5', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062290,2021-06-23 20:09:48.437,"{'DeviceID': 'MAMA0001', 'MessageID': '9QIM', 'Payload': 'Counter:6', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062303,2021-06-23 20:10:48.369,"{'DeviceID': 'MAMA0001', 'MessageID': 'A2VX', 'Payload': 'Counter:7', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062316,2021-06-23 20:11:48.374,"{'DeviceID': 'MAMA0001', 'MessageID': 'STDJ', 'Payload': 'Counter:8', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062329,2021-06-23 20:12:48.374,"{'DeviceID': 'MAMA0001', 'MessageID': 'YKYT', 'Payload': 'Counter:9', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
3062342,2021-06-23 20:13:48.378,"{'DeviceID': 'MAMA0001', 'MessageID': 'DJL0', 'Payload': 'Counter:10', 'path': 'MAMA0001PAPADUCK', 'hops': 1, 'duckType': 2}"
